Subject,Predicate,Object
Album Leaf from Illustrations of Costumes from the Qianlong Court,创作者,unknown
Album Leaf from Illustrations of Costumes from the Qianlong Court,类别,albums
Album Leaf from Illustrations of Costumes from the Qianlong Court,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Costumes from the Qianlong Court,文化,Chinese
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作时间,ca. 1759
Album Leaf from Illustrations of Costumes from the Qianlong Court,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the right leaf of one folio (attached to 2004.19.1.16) depicting the front of a formal court robe. The Chinese script describes the pictorial content of the painting and is translated as  ""illustration of summer court robe chaopao, the second style for the Empress Dowager and Empress."" This painting is nearly identical to another leaf found in the album, 2004.19.1.1.15."
Album Leaf from Illustrations of Costumes from the Qianlong Court,题跋,"皇太后 皇后 夏朝袍二圖 Translation of the Chinese text: ""Illustration of Summer court robe chaopao, the second style for the Empress Dowager and Empress.""
On the reverse of the piece ""(51)"" is handwritten in… 

													皇太后 皇后 夏朝袍二圖 Translation of the Chinese text: ""Illustration of Summer court robe chaopao, the second style for the Empress Dowager and Empress.""
On the reverse of the piece ""(51)"" is handwritten in pencil on the upper left corner.  Below it are two markings in black ink. 
Read More +"
Album Leaf from Illustrations of Costumes from the Qianlong Court,材质,ink; silk; paper
Album Leaf from Illustrations of Costumes from the Qianlong Court,尺寸,sheet: 42.2 cm x 40.8 cm; image: 36.2 cm x 37.6 cm
Album Leaf from Illustrations of Costumes from the Qianlong Court,对象类型,album leaf
Album Leaf from Illustrations of Costumes from the Qianlong Court,时期,Qing 18th century
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作地点,China
Album Leaf from Illustrations of Chinese Costumes,创作者,unknown
Album Leaf from Illustrations of Chinese Costumes,类别,albums
Album Leaf from Illustrations of Chinese Costumes,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Chinese Costumes,文化,Chinese
Album Leaf from Illustrations of Chinese Costumes,制作时间,date unknown
