Subject,Predicate,Object,ObjectLabel
2005.5.88.7,材质,silk floss; embroidery; silk; silk satin; canvas; clay; braided cord; brass,material
2009.8.10,类别,textiles,category
2005.5.238.2,文化,Chinese,culture
2005.5.553.1,制作地点,China,place
2010.16.1,类别,albums,category
2005.5.228,对象类型,panel,type
2005.5.203,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.455,类别,clothing,category
2004.19.68.1.15,制作地点,China,place
2005.5.261.1,材料术语,Tapestry Weave											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.470,尺寸,overall: 155.3 cm x 51.9 cm,measurement
2005.5.370,文化,Chinese,culture
2005.5.48,对象类型,facings,type
2005.5.634,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.79.3,对象类型,hanging scroll,type
2004.19.9.8,材质,ink and colour on paper,material
2005.5.110,尺寸,overall: 180.7 cm x 272 cm,measurement
2022.7.1,捐赠来源,Purchased by University of Alberta Museums,donor
2010.21.5.2,制作时间,late 19th - early 20th century,date
2005.5.618,标题,Left Side of the Front Panel of a Rank Badge,title
2005.5.19,时期,Qing 19th century,period
2005.5.432,对象类型,yardage,type
2005.5.147.2,材料术语,Brocade; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2005.5.522,材质,brass; ink; silk brocade; wood; tapestry weave,material
2004.19.9.4,时期,Qing 17th-18th centuries,period
2005.5.504,时期,Qing 19th century,period
2004.19.11.3,创作者,Yuan Jiang,artist
2005.5.159,制作时间,ca. 1900,date
2004.19.1.1.49,对象类型,album leaf,type
2005.5.43,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.500.1,时期,Qing 19th century,period
2005.5.265,文化,Chinese,culture
2004.19.75,时期,Qing 17th century,period
2004.19.2.18,标题,Album Leaf from Illustrations of Chinese Costumes,title
2005.5.125,制作时间,1736-1795,date
2005.5.275,标题,Embroidered Yellow Silk Imperial Throne Cover,title
2005.5.278.1,类别,textiles,category
2005.5.428,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.228,时期,Qing 20th century,period
2005.5.187,材质,pale blue silk damask edged with blue and purple silk satin facings embroidered with silk and metal-wrapped threads,material
2015.8.2,捐赠来源,Bequest of the Estate of John Caughell,donor
2005.5.24.2,类别,textiles,category
2005.5.580.1.1,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.395.5,尺寸,overall: 37.2 cm x 68.5 cm,measurement
2005.5.217,类别,textiles,category
2004.19.68.1.3,材质,ink; silk; paper,material
2004.19.41,制作时间,1943,date
2004.19.49,材质,ink and colour on silk,material
2004.19.68.1.1,描述,"A printed calligraphic piece with two square red seals. This manuscript goes along with engraving .68.1.2. It is number 2, chronologically, in the set of 16 copperplate engravings.",description
2005.5.286.2,材质,silk; silk floss; silk jacquard; silk satin; embroidery,material
2005.5.77,对象类型,vest,type
2005.5.537.1,类别,textiles,category
2005.5.121,文化,Chinese,culture
2005.5.560,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.61,文化,Chinese,culture
2005.5.557.1,尺寸,overall: 30.9 cm x 30.1 cm,measurement
2005.5.510,类别,clothing,category
2005.5.319,类别,clothing,category
2005.5.603.1.1,材质,gold wrapped silk thread; linen; peacock feathers; silk; tapestry weave,material
2005.5.556.1,文化,Chinese,culture
